@relation 0_gimp(master)

@attribute author_date_unix_timestamp numeric
@attribute fix_unix_timestamp numeric
@attribute fix numeric
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {0,1}

@data
1304601791,-1,0,1,1,1,0,1,1,2026,23,9.14912,1,207,25.896999,142,0
1304606702,-1,0,1,1,1,0,46,46,2026,23,0.05684,1,208,26.896999,143,1
1304608005,-1,0,1,1,1,0,57,23,2026,23,0.015081,1,209,27.896999,144,0
1304608673,-1,0,1,1,1,0,2,2,2060,23,0.007731,1,210,28.896999,145,0
1304616508,-1,0,1,1,1,0,275,247,12896,13,76.900347,1,0,0,0,0
1304617915,-1,0,1,1,1,0,2446,2370,12924,14,0.016285,1,1,1,0,0
1304659294,1304486663,1,1,1,1,0,1,5,232,1,1.338345,1,1269,29.557981,972,0
1304659741,-1,0,1,1,1,0,5,3,717,25,1.288681,1,1270,30.557981,973,0
1304678876,-1,0,1,1,1,0,1,1,1745,9,10.040428,1,211,29.121054,146,0
1304679505,-1,0,1,1,1,0,44,10,1745,9,0.00728,1,212,30.087675,147,0
1304684469,-1,0,1,1,1,0,6,2,2060,23,0.877269,1,213,31.020963,148,0
1304689456,-1,0,1,1,1,0,833,878,2939,1,1557.185787,1,1,1,0,0
1304690070,-1,0,1,1,2,0.228538,27,0,9.5,15,29.971117,1,2,2,0,0
1304690600,-1,0,1,1,1,0,2,1,1779,9,0.128414,1,214,31.920927,149,0
1304691461,-1,1,1,1,1,0,8,0,1959,6,838.659491,1,215,32.920927,150,0
1304713294,1159219561,1,1,1,1,0,2,2,232,3,745.18978,1,53,6.452945,29,0
1304717851,1130974020,1,1,1,1,0,1,1,534,8,60.227234,1,52,6.450564,14,0
1304723516,1206385210,1,1,2,10,3.00543,128,123,949.8,39,26.836715,2,7542,146.318032,770,1
1304723939,-1,0,1,1,1,0,30,13,771,7,117.153449,1,12628,157.886719,9960,1
1304727690,1240760650,1,1,1,1,0,11,1,691,6,100.191644,1,216,33.894738,33,0
1304730862,-1,0,1,1,1,0,2,0,345,14,28.279722,1,217,34.894738,151,0
1304789427,-1,0,1,1,1,0,4805,6078,17338,2,221.096192,1,3,3,0,0
1304789779,-1,0,1,1,1,0,4,1,16065,3,0.004074,1,4,4,1,0
1304800385,-1,0,1,1,1,0,3,3,505,12,21.873264,1,7543,146.332787,6058,0
1304805294,-1,0,1,1,1,0,0,36,1504,5,6.021933,1,7544,147.190108,6059,0
1304805655,-1,1,1,1,1,0,48,0,470,3,53.612581,1,7545,148.186414,6060,1
1304869951,-1,0,1,1,1,0,11,4,925,16,27.949572,1,218,35.595721,152,0
1304872820,-1,0,1,1,1,0,4,2,932,17,0.033206,1,219,36.595721,153,0
1304875659,1154125112,1,1,1,1,0,37,5,934,17,0.032859,1,220,37.595196,154,1
1304877788,1304875659,1,1,1,1,0,1,1,966,17,0.024641,1,221,38.595196,155,1
1304883533,-1,0,1,1,1,0,2,2,502,2,161.294259,1,7546,146.567003,6061,0
1304921219,-1,0,1,1,1,0,24,24,291,10,27.349954,1,1271,30.915049,974,0
1304921663,-1,0,1,1,4,1.115166,126,0,181,13,8.095356,2,1272,31.915049,975,0
1304956998,-1,0,1,3,5,1.583215,59,32,704.8,6,121.457481,5,1273,32.727468,976,0
1304958452,-1,0,1,1,3,0.88657,28,3,746,6,107.942504,2,1274,33.226527,977,0
1305106886,-1,0,1,4,16,3.77187,105,80,1632.4375,62,26.510226,6,7547,139.546314,771,1
1305106999,-1,0,1,3,6,2.251589,34,44,866.833333,38,92.120326,6,7548,140.545801,6062,1
1305130019,-1,0,1,3,5,2.177281,46,18,727.8,6,0.80103,3,1279,33.467429,981,0
1305144521,-1,0,1,1,1,0,0,9,765,7,33.931412,1,1302,34.316937,1002,0
1305144561,1225042795,1,1,1,1,0,1,2,697,5,20.361991,1,54,7.888748,15,1
1305144746,-1,0,2,2,5,1.39679,26,15,711.8,11,13.27891,2,7549,140.769,330,0
1305170070,-1,0,1,1,1,0,1,1,472,15,7.178032,1,222,35.096888,108,0
1305174444,-1,0,1,1,1,0,1,0,472,16,0.050625,1,1275,30.299451,545,0
1305174873,-1,0,1,1,1,0,8,1,77,1,2.930671,1,1276,31.299409,978,0
1305222470,-1,0,1,1,2,0.07762,105,0,14,6,236.704138,1,10,0.096205,2,1
1305224672,-1,0,1,1,1,0,7,0,301,3,66.093218,1,7550,135.812914,6063,0
1305224945,1180034526,1,1,1,1,0,13,2,285,2,66.096377,1,7551,136.812839,6064,0
1305226401,-1,1,1,1,1,0,4,0,970,6,3.101262,1,7552,137.799304,6065,0
1305226753,-1,0,1,1,2,0.001188,12689,0,31.5,7,588.40816,2,5,4.5,0,0
1305227579,1267395657,1,1,3,3,1.548565,12,5,681,14,304.801725,3,7553,138.569076,6066,0
1305228086,1300392200,1,1,1,2,0.195909,55,11,151,2,22.565625,1,7554,139.500359,6067,0
1305296857,-1,1,2,2,3,1.521928,3,2,49.666667,7,223.374583,3,11,1.095555,2,0
1305299282,1297716391,1,1,1,1,0,1,1,2022,13,34.858657,1,34,1.68882,21,0
1305305763,-1,0,1,1,9,2.83508,88,38,771.333333,16,4.308871,9,1277,31.043815,979,0
1305307936,-1,0,1,1,4,1.273706,101,58,413.5,3,0.02515,1,1278,32.043067,980,0
1305313325,-1,0,1,2,4,1.368552,23,6,814.5,12,171.978166,4,1280,34.041084,982,0
1305313767,-1,0,1,1,3,1.103307,7,8,442.666667,6,0.354761,3,1281,35.041059,983,0
1305381600,-1,0,1,1,5,2.112362,115,13,351.8,3,1.649287,3,1288,35.959503,988,0
1305385681,1268494557,1,1,1,1,0,7,2,1468,5,6.717442,1,1300,36.957938,1000,1
1305389791,-1,0,1,3,4,1.280449,17,12,452.25,9,80.328576,4,1295,36.954635,995,0
1305416841,-1,1,1,1,1,0,1,0,497,2,16.414375,1,7555,135.788252,6068,0
1305422914,-1,0,1,5,11,3.11003,62,66,779,41,12.405202,7,12629,147.043657,1298,0
1305471641,-1,0,1,3,5,1.701489,21,22,719.6,47,80.023278,5,7556,136.208579,6069,1
1305486769,-1,0,1,7,10,2.771884,20,55,1040.5,50,57.143909,7,7557,136.281866,772,0
1305522704,-1,0,1,2,2,0.931304,34,15,461.5,15,2.919583,2,1282,35.667316,984,0
1305524058,-1,0,1,1,8,1.313473,177,4,832.625,21,306.303284,6,12,2.095516,4,1
1305555041,-1,0,1,1,2,0.391244,19,7,568,8,0.3586,1,13,3.095516,5,1
1305569000,-1,0,1,1,1,0,97,95,243,2,219.085833,1,1284,34.394752,986,1
