"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
147,53.06122449,53.06122449,53.06122449,53.06122449,53.7414966,53.06122449,53.06122449,53.06122449,53.06122449,53.06122449
148,52.7027027,52.7027027,52.7027027,52.7027027,54.05405405,52.7027027,52.7027027,52.7027027,52.7027027,52.7027027
149,52.34899329,52.34899329,52.34899329,52.34899329,53.69127517,52.34899329,52.34899329,52.34899329,52.34899329,52.34899329
150,52,52,52,52,53.33333333,52,52,52,52,52
151,52.31788079,52.31788079,52.31788079,52.31788079,52.98013245,52.31788079,52.31788079,52.31788079,52.31788079,52.31788079
152,52.63157895,52.63157895,52.63157895,52.63157895,52.63157895,52.63157895,52.63157895,52.63157895,52.63157895,52.63157895
153,52.2875817,52.2875817,52.2875817,52.2875817,52.94117647,52.2875817,52.2875817,52.2875817,52.2875817,52.2875817
154,51.94805195,51.94805195,51.94805195,51.94805195,53.24675325,51.94805195,51.94805195,51.94805195,51.94805195,51.94805195
155,51.61290323,51.61290323,51.61290323,51.61290323,52.90322581,51.61290323,51.61290323,51.61290323,51.61290323,51.61290323
156,51.28205128,51.28205128,51.28205128,51.28205128,52.56410256,51.28205128,51.28205128,51.28205128,51.28205128,51.28205128
157,51.59235669,51.59235669,51.59235669,51.59235669,52.86624204,51.59235669,51.59235669,51.59235669,51.59235669,51.59235669
158,51.26582278,51.26582278,51.26582278,51.26582278,52.53164557,51.26582278,51.26582278,51.26582278,51.26582278,51.26582278
159,50.94339623,50.94339623,50.94339623,50.94339623,52.20125786,50.94339623,50.94339623,50.94339623,50.94339623,50.94339623
160,50.625,50.625,50.625,50.625,51.875,50.625,50.625,50.625,50.625,50.625
161,50.31055901,50.31055901,50.31055901,50.31055901,51.55279503,50.31055901,50.31055901,50.31055901,50.31055901,50.31055901
162,50,50,50,50,51.2345679,50,50,50.61728395,50,50
163,49.69325153,49.69325153,49.69325153,49.69325153,50.9202454,49.69325153,49.69325153,50.30674847,49.69325153,49.69325153
164,50,49.3902439,50,50,51.2195122,50,50,50.6097561,50,50
165,50.3030303,49.09090909,50.3030303,50.3030303,50.90909091,50.3030303,50.3030303,50.90909091,50.3030303,50.3030303
166,50.60240964,48.79518072,50.60240964,50.60240964,50.60240964,50.60240964,50.60240964,51.20481928,50.60240964,50.60240964
167,50.89820359,48.50299401,50.89820359,50.89820359,50.2994012,50.89820359,50.89820359,51.49700599,50.89820359,50.2994012
168,50.5952381,48.80952381,50.5952381,50.5952381,50.5952381,50.5952381,50.5952381,51.19047619,50.5952381,50.5952381
169,50.88757396,48.52071006,50.88757396,50.88757396,50.29585799,50.88757396,50.29585799,51.47928994,50.88757396,50.88757396
170,51.17647059,48.23529412,51.17647059,51.17647059,50,51.17647059,50,51.76470588,51.17647059,51.17647059
171,51.4619883,47.95321637,51.4619883,51.4619883,49.70760234,51.4619883,49.70760234,52.04678363,51.4619883,51.4619883
172,51.74418605,47.6744186,51.74418605,51.74418605,49.41860465,51.74418605,50,52.3255814,51.74418605,51.74418605
173,52.02312139,47.97687861,52.02312139,52.02312139,49.13294798,52.02312139,50.28901734,52.60115607,52.02312139,52.02312139
174,51.72413793,47.70114943,51.72413793,52.29885057,49.42528736,51.72413793,50,52.29885057,51.72413793,52.29885057
